,ticker,entry_date,exit_date,entry_price,exit_price,pnl,return_pct,reason,days_held
143,RMD,2025-10-28,2025-10-31,255.96119689941406,244.8989342241221,-121.68488942821173,-0.043218514404896886,Stop Loss,3
144,PSKY,2025-10-23,2025-11-03,16.407136917114258,15.06086574397529,-285.4094887054612,-0.0820539975950755,Stop Loss,11
145,ORLY,2025-10-30,2025-11-03,95.1500015258789,90.67000361851284,-188.15991210937491,-0.04708352953780667,Stop Loss,4
146,TPR,2025-11-03,2025-11-06,105.9603500366211,94.27112837417542,-409.1227581855986,-0.11031694080291117,Stop Loss,3
147,TDY,2025-10-28,2025-11-14,525.4500122070312,498.90000697544644,-132.75002615792403,-0.050528127537893944,Stop Loss,17
148,USB,2025-10-10,2025-11-17,45.279998779296875,45.73279876708985,24.903999328613438,0.010000000000000063,Stop Loss,38
149,BLK,2025-11-03,2025-11-17,1063.6527099609375,1016.9187284230735,-140.201944613592,-0.04393725611772314,Stop Loss,14
150,DELL,2025-11-14,2025-11-17,133.75999450683594,120.7228502546038,-299.8543178013392,-0.09746669249127296,Stop Loss,3
151,MDT,2025-11-06,2025-11-18,90.05999755859375,100.80000305175781,504.78025817871094,0.11925389500678733,Target 8%,12
152,FAST,2025-10-16,2025-11-20,41.74300003051758,39.25308701842598,-244.01147518497663,-0.059648635945458314,Stop Loss,35
153,PFE,2025-10-22,2025-11-20,24.29224967956543,24.535172176361083,42.75435943603503,0.00999999999999997,Stop Loss,29
154,HSY,2025-10-30,2025-11-21,169.85147094726562,186.0,371.4161682128906,0.09507441391395464,Target 8%,22
155,ORCL,2025-11-17,2025-11-21,219.86000061035156,197.8740005493164,-219.86000061035156,-0.1,Stop Loss,4
156,DELL,2025-11-17,2025-11-26,122.4800033569336,133.25999450683594,204.81983184814453,0.08801429502322175,Target 8%,9
157,BBY,2025-11-17,2025-11-26,73.67706298828125,79.924560546875,299.8798828125,0.0847956922439681,Target 8%,9
158,ANET,2025-11-18,2025-12-03,123.44999694824219,124.68449691772462,27.15899932861342,0.01000000000000005,Stop Loss,15
159,EME,2025-11-21,2025-12-04,581.5800170898438,635.3599853515625,268.89984130859375,0.09247217352966704,Target 8%,13
160,ULTA,2025-10-28,2025-12-05,518.7899780273438,601.5,413.55010986328125,0.1594287196663943,Target 8%,38
161,HUBB,2025-11-20,2025-12-05,406.00994873046875,440.5299987792969,276.160400390625,0.08502267039703598,Target 8%,15
162,CSX,2025-11-20,2025-12-05,33.555965423583984,36.29999923706055,288.12355041503906,0.08177484327564559,Target 8%,15
163,AMZN,2025-11-21,2025-12-15,220.69000244140625,222.89690246582032,37.51730041503916,0.010000000000000026,Stop Loss,24
164,DDOG,2025-11-26,2025-12-15,158.39999389648438,143.1491415841239,-259.26448931012817,-0.096280636995018,Stop Loss,19
165,ALL,2025-12-05,2025-12-18,202.27000427246094,204.29270431518555,34.38590072631834,0.009999999999999995,Stop Loss,13
